date,year,month,year_month,ecsu_index,country,source,fecha_procesamiento,date_diff
2023-01-01,2023,1,2023-01,86.76612062969318,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2023-02-01,2023,2,2023-02,154.11288914229291,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2023-03-01,2023,3,2023-03,177.06598404519607,turkey,ECSU,2025-09-28 18:09:10.133334,28 days
2023-04-01,2023,4,2023-04,172.7560109439863,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2023-05-01,2023,5,2023-05,88.59855681227157,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2023-06-01,2023,6,2023-06,89.89809182770554,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2023-07-01,2023,7,2023-07,100.45965340085186,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2023-08-01,2023,8,2023-08,167.66613892914364,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2023-09-01,2023,9,2023-09,178.4795062222943,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2023-10-01,2023,10,2023-10,162.10263270063373,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2023-11-01,2023,11,2023-11,170.1215576729092,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2023-12-01,2023,12,2023-12,88.29879275493346,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2024-01-01,2024,1,2024-01,98.47827451714124,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2024-02-01,2024,2,2024-02,181.54954641400127,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2024-03-01,2024,3,2024-03,187.89170904390434,turkey,ECSU,2025-09-28 18:09:10.133334,29 days
2024-04-01,2024,4,2024-04,180.20440056126185,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2024-05-01,2024,5,2024-05,196.13973902279022,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2024-06-01,2024,6,2024-06,191.51729709836889,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2024-07-01,2024,7,2024-07,98.6094090377762,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2024-08-01,2024,8,2024-08,195.44447103234825,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2024-09-01,2024,9,2024-09,200.33542205481695,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2024-10-01,2024,10,2024-10,106.66568079416989,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2024-11-01,2024,11,2024-11,109.88974329826932,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2024-12-01,2024,12,2024-12,215.1453476782495,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
